Using GATK jar /home/victor/Project/WES/.snakemake/conda/ad8a041d8ab2b6159985f26b3200d65e_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx819M -jar /home/victor/Project/WES/.snakemake/conda/ad8a041d8ab2b6159985f26b3200d65e_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar BaseRecalibrator --input results/prepared/SRR24443169.aligned.cram --reference /home/victor/DataHub/GATK/Homo_sapiens_assembly38.fasta --known-sites /home/victor/DataHub/GATK/Homo_sapiens_assembly38.dbsnp138.vcf.gz --tmp-dir /tmp/tmptuq7ugnw --output results/prepared/SRR24443169.grp
14:50:32.094 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/victor/Project/WES/.snakemake/conda/ad8a041d8ab2b6159985f26b3200d65e_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
14:50:32.481 INFO  BaseRecalibrator - ------------------------------------------------------------
14:50:32.529 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.4.0.0
14:50:32.530 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
14:50:32.530 INFO  BaseRecalibrator - Executing as victor@shpc-1385-instance-rVoBySAX on Linux v5.15.0-71-generic amd64
14:50:32.530 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.3-internal+0-adhoc..src
14:50:32.531 INFO  BaseRecalibrator - Start Date/Time: May 24, 2023 at 2:50:31 PM CST
14:50:32.531 INFO  BaseRecalibrator - ------------------------------------------------------------
14:50:32.531 INFO  BaseRecalibrator - ------------------------------------------------------------
14:50:32.533 INFO  BaseRecalibrator - HTSJDK Version: 3.0.5
14:50:32.533 INFO  BaseRecalibrator - Picard Version: 3.0.0
14:50:32.533 INFO  BaseRecalibrator - Built for Spark Version: 3.3.1
14:50:32.534 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
14:50:32.534 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
14:50:32.534 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
14:50:32.534 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
14:50:32.535 INFO  BaseRecalibrator - Deflater: IntelDeflater
14:50:32.535 INFO  BaseRecalibrator - Inflater: IntelInflater
14:50:32.535 INFO  BaseRecalibrator - GCS max retries/reopens: 20
14:50:32.535 INFO  BaseRecalibrator - Requester pays: disabled
14:50:32.536 INFO  BaseRecalibrator - Initializing engine
14:50:34.939 INFO  FeatureManager - Using codec VCFCodec to read file file:///home/victor/DataHub/GATK/Homo_sapiens_assembly38.dbsnp138.vcf.gz
14:50:35.807 INFO  BaseRecalibrator - Done initializing engine
14:50:35.854 INFO  BaseRecalibrationEngine - The covariates being used here: 
14:50:35.855 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
14:50:35.855 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
14:50:35.855 INFO  BaseRecalibrationEngine - 	ContextCovariate
14:50:35.855 INFO  BaseRecalibrationEngine - 	CycleCovariate
14:50:36.086 INFO  ProgressMeter - Starting traversal
14:50:36.115 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
14:50:46.227 INFO  ProgressMeter -         chr1:1669615              0.2                 50000         296970.9
14:50:56.226 INFO  ProgressMeter -         chr1:7766307              0.3                133000         396916.2
14:51:06.309 INFO  ProgressMeter -        chr1:14420589              0.5                234000         465070.1
14:51:16.360 INFO  ProgressMeter -        chr1:19865058              0.7                339000         505467.2
14:51:26.393 INFO  ProgressMeter -        chr1:26161218              0.8                441000         526326.3
14:51:36.446 INFO  ProgressMeter -        chr1:32335168              1.0                550000         547027.8
14:51:46.455 INFO  ProgressMeter -        chr1:37961308              1.2                629000         536575.0
14:51:56.517 INFO  ProgressMeter -        chr1:44635448              1.3                726000         541811.3
14:52:06.578 INFO  ProgressMeter -        chr1:53078425              1.5                820000         543892.8
14:52:16.698 INFO  ProgressMeter -        chr1:66053531              1.7                904000         539277.6
14:52:26.833 INFO  ProgressMeter -        chr1:83201787              1.8                969000         525136.8
14:52:36.854 INFO  ProgressMeter -        chr1:99615750              2.0               1054000         523830.8
14:52:46.857 INFO  ProgressMeter -       chr1:110809719              2.2               1127000         517217.6
14:52:57.375 INFO  ProgressMeter -       chr1:124873391              2.4               1212000         514813.6
14:53:07.388 INFO  ProgressMeter -       chr1:152515350              2.5               1320000         523570.6
14:53:17.519 INFO  ProgressMeter -       chr1:158086558              2.7               1446000         537549.8
14:53:27.572 INFO  ProgressMeter -       chr1:168087516              2.9               1543000         539973.1
14:53:37.680 INFO  ProgressMeter -       chr1:180457961              3.0               1628000         538001.0
14:53:47.740 INFO  ProgressMeter -       chr1:197642670              3.2               1710000         535431.9
14:53:57.965 INFO  ProgressMeter -       chr1:205339554              3.4               1809000         537736.7
14:54:07.981 INFO  ProgressMeter -       chr1:215650588              3.5               1892000         535830.6
14:54:18.179 INFO  ProgressMeter -       chr1:228165914              3.7               1980000         534990.5
14:54:28.216 INFO  ProgressMeter -       chr1:236787363              3.9               2070000         535123.4
14:54:38.223 INFO  ProgressMeter -       chr1:247896282              4.0               2133000         528618.0
14:54:48.246 INFO  ProgressMeter -        chr2:11659995              4.2               2206000         524973.5
14:54:58.309 INFO  ProgressMeter -        chr2:25810177              4.4               2280000         521759.0
14:55:08.543 INFO  ProgressMeter -        chr2:34535888              4.5               2389000         526167.0
14:55:18.546 INFO  ProgressMeter -        chr2:47090240              4.7               2465000         523677.0
14:55:28.692 INFO  ProgressMeter -        chr2:61473391              4.9               2533000         519460.1
14:55:38.705 INFO  ProgressMeter -        chr2:73440278              5.0               2621000         519721.7
14:55:48.770 INFO  ProgressMeter -        chr2:86563262              5.2               2708000         519686.6
14:55:58.874 INFO  ProgressMeter -       chr2:101667511              5.4               2820000         524238.3
14:56:09.102 INFO  ProgressMeter -       chr2:117698849              5.5               2904000         523271.5
14:56:19.149 INFO  ProgressMeter -       chr2:130762757              5.7               2987000         522463.1
14:56:29.247 INFO  ProgressMeter -       chr2:147015355              5.9               3056000         519248.1
14:56:39.480 INFO  ProgressMeter -       chr2:164524947              6.1               3134000         517503.3
14:56:49.666 INFO  ProgressMeter -       chr2:173080250              6.2               3193000         512868.6
14:56:59.755 INFO  ProgressMeter -       chr2:185791217              6.4               3273000         511892.8
14:57:09.802 INFO  ProgressMeter -       chr2:201392892              6.6               3353000         511020.3
14:57:19.846 INFO  ProgressMeter -       chr2:214997670              6.7               3437000         510790.7
14:57:29.883 INFO  ProgressMeter -       chr2:223968704              6.9               3542000         513626.1
14:57:39.971 INFO  ProgressMeter -       chr2:233145510              7.1               3620000         512444.2
14:57:50.007 INFO  ProgressMeter -       chr2:240959254              7.2               3710000         513036.8
14:58:00.084 INFO  ProgressMeter -         chr3:9835407              7.4               3786000         511663.1
14:58:10.327 INFO  ProgressMeter -        chr3:22317193              7.6               3883000         512937.9
14:58:20.414 INFO  ProgressMeter -        chr3:35792250              7.7               3940000         509160.1
14:58:30.493 INFO  ProgressMeter -        chr3:45541895              7.9               4035000         510378.3
14:58:40.502 INFO  ProgressMeter -        chr3:50252904              8.1               4176000         517277.7
14:58:50.555 INFO  ProgressMeter -        chr3:58197800              8.2               4299000         521685.3
14:59:00.640 INFO  ProgressMeter -        chr3:76166946              8.4               4376000         520415.4
14:59:10.773 INFO  ProgressMeter -        chr3:99166503              8.6               4428000         516231.3
14:59:20.827 INFO  ProgressMeter -       chr3:114841772              8.7               4506000         515259.0
14:59:30.904 INFO  ProgressMeter -       chr3:126996998              8.9               4596000         515647.4
14:59:40.941 INFO  ProgressMeter -       chr3:136809977              9.1               4685000         515949.3
14:59:51.110 INFO  ProgressMeter -       chr3:150549170              9.2               4758000         514386.7
15:00:01.226 INFO  ProgressMeter -       chr3:163444235              9.4               4814000         511128.1
15:00:11.242 INFO  ProgressMeter -       chr3:179790024              9.6               4878000         508900.7
15:00:21.693 INFO  ProgressMeter -       chr3:190748588              9.8               4968000         509039.9
15:00:31.752 INFO  ProgressMeter -         chr4:1380770              9.9               5059000         509610.0
15:00:41.913 INFO  ProgressMeter -         chr4:8206314             10.1               5152000         510272.5
15:00:52.123 INFO  ProgressMeter -        chr4:19476689             10.3               5206000         507075.5
15:01:02.198 INFO  ProgressMeter -        chr4:37445115             10.4               5259000         503993.9
15:01:12.228 INFO  ProgressMeter -        chr4:49016604             10.6               5329000         502650.5
15:01:22.472 INFO  ProgressMeter -        chr4:65006855             10.8               5383000         499696.8
