Using GATK jar /home/victor/Project/WES/.snakemake/conda/ad8a041d8ab2b6159985f26b3200d65e_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx819M -jar /home/victor/Project/WES/.snakemake/conda/ad8a041d8ab2b6159985f26b3200d65e_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar BaseRecalibrator --input results/prepared/SRR24443168.aligned.cram --reference /home/victor/DataHub/GATK/Homo_sapiens_assembly38.fasta --known-sites /home/victor/DataHub/GATK/Homo_sapiens_assembly38.dbsnp138.vcf.gz --tmp-dir /tmp/tmprdmq_amb --output results/prepared/SRR24443168.grp
14:50:32.050 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/victor/Project/WES/.snakemake/conda/ad8a041d8ab2b6159985f26b3200d65e_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
14:50:32.483 INFO  BaseRecalibrator - ------------------------------------------------------------
14:50:32.530 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.4.0.0
14:50:32.531 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
14:50:32.534 INFO  BaseRecalibrator - Executing as victor@shpc-1385-instance-rVoBySAX on Linux v5.15.0-71-generic amd64
14:50:32.535 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.3-internal+0-adhoc..src
14:50:32.535 INFO  BaseRecalibrator - Start Date/Time: May 24, 2023 at 2:50:31 PM CST
14:50:32.535 INFO  BaseRecalibrator - ------------------------------------------------------------
14:50:32.535 INFO  BaseRecalibrator - ------------------------------------------------------------
14:50:32.537 INFO  BaseRecalibrator - HTSJDK Version: 3.0.5
14:50:32.537 INFO  BaseRecalibrator - Picard Version: 3.0.0
14:50:32.538 INFO  BaseRecalibrator - Built for Spark Version: 3.3.1
14:50:32.539 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
14:50:32.539 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
14:50:32.539 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
14:50:32.540 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
14:50:32.540 INFO  BaseRecalibrator - Deflater: IntelDeflater
14:50:32.540 INFO  BaseRecalibrator - Inflater: IntelInflater
14:50:32.541 INFO  BaseRecalibrator - GCS max retries/reopens: 20
14:50:32.541 INFO  BaseRecalibrator - Requester pays: disabled
14:50:32.542 INFO  BaseRecalibrator - Initializing engine
14:50:34.824 INFO  FeatureManager - Using codec VCFCodec to read file file:///home/victor/DataHub/GATK/Homo_sapiens_assembly38.dbsnp138.vcf.gz
14:50:35.823 INFO  BaseRecalibrator - Done initializing engine
14:50:35.862 INFO  BaseRecalibrationEngine - The covariates being used here: 
14:50:35.863 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
14:50:35.870 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
14:50:35.870 INFO  BaseRecalibrationEngine - 	ContextCovariate
14:50:35.870 INFO  BaseRecalibrationEngine - 	CycleCovariate
14:50:36.084 INFO  ProgressMeter - Starting traversal
14:50:36.085 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
14:50:46.215 INFO  ProgressMeter -         chr1:1645274              0.2                 78000         462267.9
14:50:56.234 INFO  ProgressMeter -         chr1:6128893              0.3                207000         616438.4
14:51:06.236 INFO  ProgressMeter -        chr1:10262120              0.5                347000         690570.2
14:51:16.238 INFO  ProgressMeter -        chr1:15425891              0.7                529000         790496.1
14:51:26.260 INFO  ProgressMeter -        chr1:19138856              0.8                706000         844262.0
14:51:36.373 INFO  ProgressMeter -        chr1:23724159              1.0                899000         894779.6
14:51:46.581 INFO  ProgressMeter -        chr1:28120227              1.2               1096000         932818.9
14:51:56.616 INFO  ProgressMeter -        chr1:32324379              1.3               1240000         923867.8
14:52:06.775 INFO  ProgressMeter -        chr1:36308064              1.5               1386000         917050.8
14:52:16.771 INFO  ProgressMeter -        chr1:41510338              1.7               1568000         934390.1
14:52:26.873 INFO  ProgressMeter -        chr1:46184289              1.8               1778000         962928.9
14:52:36.929 INFO  ProgressMeter -        chr1:52696593              2.0               1935000         960758.7
14:52:46.946 INFO  ProgressMeter -        chr1:58689052              2.2               2082000         954608.0
14:52:56.964 INFO  ProgressMeter -        chr1:66277109              2.3               2204000         938684.5
14:53:07.017 INFO  ProgressMeter -        chr1:77307741              2.5               2341000         930623.9
14:53:17.058 INFO  ProgressMeter -        chr1:87895531              2.7               2477000         923260.4
14:53:27.083 INFO  ProgressMeter -        chr1:96881367              2.8               2638000         925624.9
14:53:37.101 INFO  ProgressMeter -       chr1:107057866              3.0               2740000         908212.0
14:53:47.282 INFO  ProgressMeter -       chr1:112069801              3.2               2901000         910374.7
14:53:57.401 INFO  ProgressMeter -       chr1:119915432              3.4               3089000         920665.0
14:54:07.414 INFO  ProgressMeter -       chr1:149031820              3.5               3211000         911663.4
14:54:17.481 INFO  ProgressMeter -       chr1:153659076              3.7               3428000         929014.1
14:54:27.499 INFO  ProgressMeter -       chr1:156592523              3.9               3635000         942470.8
14:54:37.523 INFO  ProgressMeter -       chr1:161098875              4.0               3854000         957761.4
14:54:47.734 INFO  ProgressMeter -       chr1:168530202              4.2               4021000         958716.3
14:54:57.877 INFO  ProgressMeter -       chr1:175340811              4.4               4170000         955724.2
14:55:07.898 INFO  ProgressMeter -       chr1:182124326              4.5               4320000         953596.8
14:55:17.899 INFO  ProgressMeter -       chr1:191302364              4.7               4475000         952756.1
14:55:28.039 INFO  ProgressMeter -       chr1:201211144              4.9               4613000         948029.3
14:55:38.073 INFO  ProgressMeter -       chr1:205094835              5.0               4797000         953087.4
14:55:48.096 INFO  ProgressMeter -       chr1:209627033              5.2               4938000         949581.9
14:55:58.099 INFO  ProgressMeter -       chr1:216707282              5.4               5081000         946729.0
14:56:08.107 INFO  ProgressMeter -       chr1:224389778              5.5               5213000         942046.0
14:56:18.115 INFO  ProgressMeter -       chr1:229330200              5.7               5369000         941850.0
14:56:28.221 INFO  ProgressMeter -       chr1:235778006              5.9               5522000         940889.1
14:56:38.699 INFO  ProgressMeter -       chr1:243925376              6.0               5660000         936535.6
14:56:48.703 INFO  ProgressMeter -          chr2:277057              6.2               5779000         930550.9
14:56:58.732 INFO  ProgressMeter -         chr2:7788831              6.4               5873000         920901.0
14:57:08.779 INFO  ProgressMeter -        chr2:14289258              6.5               5996000         916135.5
14:57:18.800 INFO  ProgressMeter -        chr2:23786134              6.7               6132000         913598.9
14:57:28.872 INFO  ProgressMeter -        chr2:27858363              6.9               6341000         921688.2
14:57:38.938 INFO  ProgressMeter -        chr2:33520564              7.0               6485000         920180.1
14:57:48.952 INFO  ProgressMeter -        chr2:41938352              7.2               6607000         915800.9
14:57:58.986 INFO  ProgressMeter -        chr2:48459898              7.4               6748000         914154.6
14:58:09.020 INFO  ProgressMeter -        chr2:57734554              7.5               6871000         910196.8
14:58:19.039 INFO  ProgressMeter -        chr2:65783142              7.7               7002000         907476.8
14:58:29.072 INFO  ProgressMeter -        chr2:73399373              7.9               7171000         909667.5
14:58:39.170 INFO  ProgressMeter -        chr2:81046603              8.1               7313000         908289.2
14:58:49.193 INFO  ProgressMeter -        chr2:88590868              8.2               7449000         906375.3
14:58:59.204 INFO  ProgressMeter -        chr2:97951270              8.4               7619000         908612.1
14:59:09.284 INFO  ProgressMeter -       chr2:104480444              8.6               7759000         907133.5
14:59:19.364 INFO  ProgressMeter -       chr2:111307912              8.7               7873000         902735.8
14:59:29.388 INFO  ProgressMeter -       chr2:119242689              8.9               7994000         899377.8
14:59:39.459 INFO  ProgressMeter -       chr2:127000608              9.1               8099000         894301.2
