Using GATK jar /home/victor/Project/WES/.snakemake/conda/c7af9f37e86bc657d4796ebb30c40d7a_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx1638M -jar /home/victor/Project/WES/.snakemake/conda/c7af9f37e86bc657d4796ebb30c40d7a_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar ApplyBQSR --input results/prepared/SRR24443168.aligned.cram --bqsr-recal-file results/prepared/SRR24443168.grp --reference /home/victor/DataHub/GATK/Homo_sapiens_assembly38.fasta --tmp-dir /tmp/tmpveeg3wpq --output /dev/stdout
16:38:35.062 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/victor/Project/WES/.snakemake/conda/c7af9f37e86bc657d4796ebb30c40d7a_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
16:38:35.213 INFO  ApplyBQSR - ------------------------------------------------------------
16:38:35.218 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.4.0.0
16:38:35.231 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
16:38:35.231 INFO  ApplyBQSR - Executing as victor@shpc-1385-instance-rVoBySAX on Linux v5.15.0-71-generic amd64
16:38:35.231 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.3-internal+0-adhoc..src
16:38:35.232 INFO  ApplyBQSR - Start Date/Time: May 24, 2023 at 4:38:34 PM CST
16:38:35.232 INFO  ApplyBQSR - ------------------------------------------------------------
16:38:35.232 INFO  ApplyBQSR - ------------------------------------------------------------
16:38:35.233 INFO  ApplyBQSR - HTSJDK Version: 3.0.5
16:38:35.234 INFO  ApplyBQSR - Picard Version: 3.0.0
16:38:35.234 INFO  ApplyBQSR - Built for Spark Version: 3.3.1
16:38:35.254 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
16:38:35.254 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
16:38:35.254 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
16:38:35.255 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
16:38:35.255 INFO  ApplyBQSR - Deflater: IntelDeflater
16:38:35.255 INFO  ApplyBQSR - Inflater: IntelInflater
16:38:35.255 INFO  ApplyBQSR - GCS max retries/reopens: 20
16:38:35.256 INFO  ApplyBQSR - Requester pays: disabled
16:38:35.257 INFO  ApplyBQSR - Initializing engine
16:38:37.085 INFO  ApplyBQSR - Done initializing engine
INFO	2023-05-24 16:38:37	SAMFileWriterFactory	Unknown file extension, assuming BAM format when writing file: file:///dev/stdout
WARNING	2023-05-24 16:38:37	SAMFileWriterFactory	Cannot create index for BAM because output file is not a regular file: file:///dev/stdout
16:38:37.456 INFO  ProgressMeter - Starting traversal
16:38:37.457 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
16:38:47.625 INFO  ProgressMeter -         chr1:1211672              0.2                 51000         301507.5
16:38:57.711 INFO  ProgressMeter -         chr1:7664174              0.3                304000         900651.8
16:39:07.765 INFO  ProgressMeter -        chr1:13933451              0.5                571000        1130469.2
16:39:18.036 INFO  ProgressMeter -        chr1:20876614              0.7                871000        1287921.7
16:39:28.049 INFO  ProgressMeter -        chr1:27353397              0.8               1153000        1367463.9
16:39:38.076 INFO  ProgressMeter -        chr1:34761249              1.0               1417000        1402576.8
16:39:48.091 INFO  ProgressMeter -        chr1:40938105              1.2               1654000        1405009.0
16:39:58.102 INFO  ProgressMeter -        chr1:49081973              1.3               1964000        1461255.2
16:40:08.338 INFO  ProgressMeter -        chr1:59697547              1.5               2201000        1453205.0
16:40:18.341 INFO  ProgressMeter -        chr1:75137314              1.7               2421000        1439885.8
16:40:28.452 INFO  ProgressMeter -        chr1:92014125              1.8               2661000        1438456.1
16:40:38.456 INFO  ProgressMeter -       chr1:108718931              2.0               2890000        1433093.4
16:40:48.538 INFO  ProgressMeter -       chr1:115838224              2.2               3125000        1430609.7
16:40:58.660 INFO  ProgressMeter -       chr1:143796054              2.4               3341000        1419678.3
16:41:08.673 INFO  ProgressMeter -       chr1:148981055              2.5               3577000        1419313.0
16:41:18.685 INFO  ProgressMeter -       chr1:153330901              2.7               3837000        1427933.5
16:41:28.873 INFO  ProgressMeter -       chr1:157690304              2.9               4151000        1452965.0
16:41:38.948 INFO  ProgressMeter -       chr1:162829803              3.0               4381000        1448344.3
16:41:49.000 INFO  ProgressMeter -       chr1:174448116              3.2               4611000        1444390.5
16:41:59.018 INFO  ProgressMeter -       chr1:186130103              3.4               4888000        1455057.8
16:42:09.030 INFO  ProgressMeter -       chr1:201431024              3.5               5098000        1445831.0
16:42:19.129 INFO  ProgressMeter -       chr1:206840119              3.7               5339000        1445114.6
16:42:29.157 INFO  ProgressMeter -       chr1:218787468              3.9               5581000        1445243.4
16:42:39.200 INFO  ProgressMeter -       chr1:226735480              4.0               5761000        1429877.4
16:42:49.227 INFO  ProgressMeter -       chr1:235136060              4.2               5989000        1427260.7
16:42:59.546 INFO  ProgressMeter -       chr1:244461464              4.4               6171000        1412731.6
16:43:09.569 INFO  ProgressMeter -         chr2:1275282              4.5               6312000        1391785.0
16:43:19.578 INFO  ProgressMeter -        chr2:11773709              4.7               6505000        1383468.6
16:43:29.586 INFO  ProgressMeter -        chr2:22256441              4.9               6645000        1364812.7
16:43:39.606 INFO  ProgressMeter -        chr2:27183614              5.0               6803000        1350936.3
16:43:49.647 INFO  ProgressMeter -        chr2:32916365              5.2               7006000        1346492.0
16:43:59.649 INFO  ProgressMeter -        chr2:44508839              5.4               7213000        1343244.7
16:44:09.784 INFO  ProgressMeter -        chr2:60874175              5.5               7443000        1343801.0
16:44:19.797 INFO  ProgressMeter -        chr2:73249813              5.7               7708000        1350941.6
16:44:29.807 INFO  ProgressMeter -        chr2:85698449              5.9               7932000        1350710.1
16:44:39.833 INFO  ProgressMeter -        chr2:95938840              6.0               8148000        1349103.4
16:44:49.843 INFO  ProgressMeter -       chr2:102357579              6.2               8371000        1348765.4
16:44:59.845 INFO  ProgressMeter -       chr2:112658909              6.4               8597000        1348947.5
