Using GATK jar /home/victor/Project/WES/.snakemake/conda/c7af9f37e86bc657d4796ebb30c40d7a_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx1638M -jar /home/victor/Project/WES/.snakemake/conda/c7af9f37e86bc657d4796ebb30c40d7a_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar ApplyBQSR --input results/prepared/SRR24443169.aligned.cram --bqsr-recal-file results/prepared/SRR24443169.grp --reference /home/victor/DataHub/GATK/Homo_sapiens_assembly38.fasta --tmp-dir /tmp/tmpphfn3tuv --output /dev/stdout
15:36:25.706 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/victor/Project/WES/.snakemake/conda/c7af9f37e86bc657d4796ebb30c40d7a_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
15:36:27.056 INFO  ApplyBQSR - ------------------------------------------------------------
15:36:27.107 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.4.0.0
15:36:27.108 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
15:36:27.108 INFO  ApplyBQSR - Executing as victor@shpc-1385-instance-rVoBySAX on Linux v5.15.0-71-generic amd64
15:36:27.109 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.3-internal+0-adhoc..src
15:36:27.109 INFO  ApplyBQSR - Start Date/Time: May 24, 2023 at 3:36:24 PM CST
15:36:27.110 INFO  ApplyBQSR - ------------------------------------------------------------
15:36:27.110 INFO  ApplyBQSR - ------------------------------------------------------------
15:36:27.111 INFO  ApplyBQSR - HTSJDK Version: 3.0.5
15:36:27.111 INFO  ApplyBQSR - Picard Version: 3.0.0
15:36:27.112 INFO  ApplyBQSR - Built for Spark Version: 3.3.1
15:36:27.112 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
15:36:27.112 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
15:36:27.113 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
15:36:27.113 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
15:36:27.113 INFO  ApplyBQSR - Deflater: IntelDeflater
15:36:27.114 INFO  ApplyBQSR - Inflater: IntelInflater
15:36:27.116 INFO  ApplyBQSR - GCS max retries/reopens: 20
15:36:27.117 INFO  ApplyBQSR - Requester pays: disabled
15:36:27.118 INFO  ApplyBQSR - Initializing engine
15:36:29.401 INFO  ApplyBQSR - Done initializing engine
INFO	2023-05-24 15:36:29	SAMFileWriterFactory	Unknown file extension, assuming BAM format when writing file: file:///dev/stdout
WARNING	2023-05-24 15:36:29	SAMFileWriterFactory	Cannot create index for BAM because output file is not a regular file: file:///dev/stdout
15:36:29.608 INFO  ProgressMeter - Starting traversal
15:36:29.614 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
15:36:49.530 INFO  ProgressMeter -          chr1:954093              0.3                 13000          39199.9
15:36:59.902 INFO  ProgressMeter -         chr1:9612812              0.5                181000         358984.5
15:37:09.918 INFO  ProgressMeter -        chr1:18049872              0.7                353000         525532.2
15:37:20.040 INFO  ProgressMeter -        chr1:26571694              0.8                501000         596144.7
15:37:30.052 INFO  ProgressMeter -        chr1:40285984              1.0                712000         706840.1
15:37:40.071 INFO  ProgressMeter -        chr1:53199328              1.2                880000         749425.2
15:37:50.078 INFO  ProgressMeter -        chr1:84402109              1.3               1036000         772529.0
15:38:00.107 INFO  ProgressMeter -       chr1:111448936              1.5               1206000         799628.7
15:38:10.111 INFO  ProgressMeter -       chr1:145334756              1.7               1371000         818540.0
15:38:20.142 INFO  ProgressMeter -       chr1:154321046              1.8               1569000         851737.6
15:38:30.278 INFO  ProgressMeter -       chr1:161629689              2.0               1736000         863237.8
15:38:40.279 INFO  ProgressMeter -       chr1:179959663              2.2               1858000         853187.2
15:38:50.320 INFO  ProgressMeter -       chr1:204410846              2.3               2034000         867346.6
15:39:00.489 INFO  ProgressMeter -       chr1:228425069              2.5               2251000         895184.1
15:39:21.619 INFO  ProgressMeter -         chr2:2451901              2.9               2424000         845556.8
15:39:31.669 INFO  ProgressMeter -        chr2:29993680              3.0               2631000         867105.4
15:39:41.757 INFO  ProgressMeter -        chr2:61001437              3.2               2814000         878725.1
15:39:51.832 INFO  ProgressMeter -        chr2:87037163              3.4               3009000         892803.3
15:40:01.839 INFO  ProgressMeter -       chr2:108482267              3.5               3186000         900742.1
15:40:11.908 INFO  ProgressMeter -       chr2:131491850              3.7               3364000         907990.8
15:40:22.069 INFO  ProgressMeter -       chr2:165308594              3.9               3514000         907018.2
15:40:32.084 INFO  ProgressMeter -       chr2:189805953              4.0               3675000         909390.9
15:40:42.181 INFO  ProgressMeter -       chr2:217907121              4.2               3844000         913183.4
15:40:52.188 INFO  ProgressMeter -       chr2:233796260              4.4               4026000         919972.7
15:41:04.808 INFO  ProgressMeter -         chr3:4410916              4.6               4149000         904598.2
15:41:14.812 INFO  ProgressMeter -        chr3:27544254              4.8               4306000         905900.1
15:41:25.000 INFO  ProgressMeter -        chr3:45732055              4.9               4446000         903089.5
15:41:35.040 INFO  ProgressMeter -        chr3:52804691              5.1               4662000         915838.6
15:41:45.245 INFO  ProgressMeter -        chr3:88051217              5.3               4819000         916069.7
15:41:55.425 INFO  ProgressMeter -       chr3:119582251              5.4               4949000         911390.1
15:42:05.573 INFO  ProgressMeter -       chr3:136604298              5.6               5119000         914221.4
15:42:15.749 INFO  ProgressMeter -       chr3:168029769              5.8               5269000         913345.7
15:42:25.796 INFO  ProgressMeter -       chr3:194672136              5.9               5437000         915892.9
15:42:35.862 INFO  ProgressMeter -         chr4:7735388              6.1               5606000         918394.1
15:42:45.965 INFO  ProgressMeter -        chr4:48483933              6.3               5806000         925625.3
15:42:55.978 INFO  ProgressMeter -        chr4:86542617              6.4               6001000         931921.5
15:43:06.152 INFO  ProgressMeter -       chr4:128341986              6.6               6196000         937563.8
15:43:16.189 INFO  ProgressMeter -       chr4:176187597              6.8               6386000         942413.8
15:43:26.198 INFO  ProgressMeter -        chr5:14461344              6.9               6541000         942093.2
